PMID	Year	processed_title
39510798	2024	sar cov hsv induc amyloid aggreg human csf result drastic solubl protein deplet
39511549	2024	bit cough tire resili covid percept experi gp covid pandem qualit interview studi austria
39511637	2024	predict post covid condit children peopl xa0 month posit sar cov pcr test clock studi
39512484	2024	character baselin symptom function impair cohort outpati attend covid rehabilit clinic unit kingdom
39515869	2024	protocol ambidirect cohort studi covid healthcar barrier access health servic citi southeast brazil
39516425	2024	neurolog psycholog psychosoci complic covid manag
39516528	2024	transcutan electr nerv stimul fibromyalgia syndrom patient covid pilot random clinic trial
39516880	2024	implement patient public involv engag ppie therapi covid hospitalis individu tlc project
39516956	2024	term health outcom covid icu icu treat patient xa0 hospit longitudin cohort studi flow
39518437	2024	comparison metabol syndrom autoimmun viral distinct inflammatori relat condit affect bodi mass index
39518632	2024	impact covid diaphragmat function understand multiorgan involv term consequ
39518964	2024	cytokin storm covid explor il signal cytokin microbiom interact emerg therapeut approach
39520297	2024	secondari organis pneumonia covid infect patient central nervou system inflammatori demyelin diseas treat anti cd20 therapi
39520983	2024	precis phenotyp curat research cohort patient unexplain post acut sequela covid
39521013	2024	learn covid conceptualis action tackl infect communic diseas
39522688	2024	brain target autoimmun strongli covid chronic fatigu syndrom affect symptom
39524261	2024	transient osteoporosi hip covid seri
39524607	2024	tree base classif model covid infect predict ag stratif data nation covid cohort collabor
39524912	2024	overlap condit covid multisit academ center
39526116	2024	clinic rational dietari lutein supplement covid mrna vaccin injuri syndrom
39527314	2024	identifi influenc factor construct predict model covid hemodialysi patient
39529266	2024	ey photovoic captur capac build journei covid patient expert
39529893	2024	adapt pace intervent adult live covid narr studi patient experi pacem app
39531278	2024	evalu repetit transcrani magnet stimul neuropsychiatr symptom covid seri
39532773	2024	burden post acut covid sequela healthcar worker month period result prospect multicentr cohort
39534771	2024	worldwid perspect covid manag covid
39534773	2024	worldwid covid manag covid survei
39536116	2024	translat insight therapi covid
39536117	2024	sex differ immun correl covid develop symptom persist resolut
39536118	2024	anim model covid hit run diseas
39536120	2024	sex differ postacut infect syndrom
39536121	2024	infect chronic condit covid chanc untangl osler' web
39536122	2024	consequ acut sar cov infect children
39536123	2024	initi covid recoveri
39536394	2024	transform base deep learn model diagnosi suspect lung cancer primari care base electron health record data
39537389	2024	trajectori function limit health relat qualiti life societ cost individu covid popul base longitudin cohort studi
39537445	2024	blood virom research myalgic encephalomyel chronic fatigu syndrom challeng opportun
39540209	2024	substanti reduct clinic econom burden diseas variant adapt mrna covid vaccin immunocompromis patient franc
39542232	2024	vivo character ace2 express spragu dawlei rat cultur primari brain pericyt highlight util rattu norvegicu studi covid brain pathophysiologi
39543596	2024	symptom profil symptom cluster clinic demograph characterist multicentr cohort patient evalu covid
39544193	2024	metabol physiolog impair underli covid exercis intoler
39545965	2024	rational hyperbar oxygen therapi patient post covid syndrom critic review
39547729	2025	clinic comparison post intens care syndrom coronaviru diseas
39549783	2024	post acut sequala covid twelv month infect delta versu omicron
39549937	2024	manual dexter tactil percept inflammatori profil hcw affect covid control studi
39550105	2025	covid rheumatologist current understand approach manag
39550693	2024	compromis cd8 cell immun ag brain increas sever neurotrop coronaviru infect postinfecti cognit impair
39550783	2024	impact gut microbiom diet post acut sequela sar cov infect
39551439	2024	covid children evolv epidemiologi immunologi symptom diagnost treatment post covid condit prevent strategi futur direct
39551591	2024	post covid healthcar worker consequ qualiti life activ particip rehabilit care experi protocol cohort studi
39551951	2024	dysrupt microbi tryptophan metabol associ sar cov acut inflammatori respons covid
39552393	2024	effect polygen liabil mental disord covid outcom peopl depress mediat role anxieti
39553000	2024	zinc defici post acut outcom patient covid month retrospect cohort analysi 3,726 patient
39554298	2024	evalu diseas complic covid retrospect chart review
39556251	2024	deriv valid risk predict model covid popul base retrospect cohort studi scotland
39557995	2024	util person wearabl data covid person patient care
39558250	2024	cognit impact brain structur covid patient cross section mri studi post infect cohort argentina
39558292	2024	protect role vaccin develop covid data multicent prospect cohort studi
39558820	2024	extracellular vesicl sar cov protein multi organ dysfunct wors outcom patient sever covid
39559556	2024	narr review impact incent spiromet respiratori train covid
39559920	2024	intermitt hypox hyperox train inpati rehabilit improv exercis capac function outcom patient covid result control clinic pilot trial
39560319	2024	therapeut bcg vaccin protect covid battl random clinic trial
39560821	2024	hypopituitar covid
39562810	2024	alter leukocyt pattern inflammatori marker unvaccin covid patient cross section studi
39568467	2024	latent transfer learn method estim hospit specif post acut healthcar demand sar cov infect
39569098	2024	valid efficaci tele yoga intervent improv psycholog stress mental health sleep difficulti stress adult diagnos covid prospect multi center label singl arm studi
39569188	2024	clinic characterist antibodi respons omicron variant solid carcinoma patient china 2022.12 2023.4 wave covid pandem
39571342	2024	beetroot juic intak posit influenc gut microbiota inflamm fail improv function outcom adult covid pilot random control trial
39572348	2024	post covid symptom hotspot collect wave sar cov pandem germani
39574217	2024	ultrasensit chemiluminesc probe design coval inhibitor sra cov mpro detect
39574837	2024	promot awar data confidenti secur covid pandem low incom countri sierra leon
39575513	2024	exercis train covid exer covid trial
39575583	2024	neurolog manifest covid disproportion affect middl ag adult
39575994	2024	camaraderi experi covid peer support staff health social care emerg servic
39576127	2024	uncov therapeut potenti propoli extract manag hyperinflamm covid comprehens bioinformat studi
39576781	2024	associ covid nonsteroid anti inflammatori drug patient acut phase covid nationwid korea nation health insur servic cohort studi
39578604	2024	dynam solubl inflammatori mediat clearanc respiratori sar cov versu blood born hepat viru infect
39579089	2024	nation covid cohort collabor data enhanc path expand common data model
39580033	2024	effect pre covid post covid vaccin covid systemat review meta analysi
39580341	2024	overlook epidem fibromyalgia shadow covid
39580703	2024	cure covid strengthen persist replic sar cov driver post acut sequela covid
39581785	2024	pulmonari 129xe mri cnn registr segment gener ventil defect percent multi center valid
39582104	2024	agenda set outpati consult adult covid
39585134	2024	percept covid patient health assist insight qualit studi spain
39587352	2024	consequ sar cov host persist
39589967	2024	identifi factor affect outcom exercis base therapi covid
39590834	2024	salivari metabolom patient covid infect
39592027	2024	intraven immunoglobulin therapi autoimmun condit
39592773	2024	covid syndrom children neutrophil granulocyt dysfunct correl diseas sever
39594500	2024	mediterranean diet oliv oil redox interact lactat dehydrogenas mediat gut oscillibact patient covid syndrom
39595012	2024	individu control exercis train improv fatigu exercis capac patient covid
39595587	2024	knowvid knowledg base system extract target covid inform onlin medic repositori
39596552	2024	chilean covid genom network biorepositori resourc multi omic studi covid covid latin american popul
39596862	2024	nerv growth factor brain deriv neurotroph factor covid
39596903	2024	red blood cell morphologi alter hemorheolog properti fatigu patient covid
39597891	2024	exercis postur orthostat tachycardia syndrom focu individu exercis approach
39597960	2024	reduc salivari gustin statherin covid cohort impair bitter tast
39598316	2024	insight risk factor outcom post covid syndrom result retrospect cross section studi romania
39599809	2024	bone miner densiti bone biomark joint acut post covid systemat review
39599883	2024	longitudin 1h nmr base metabolom saliva unveil signatur transit acut post acut phase sar cov infect
39599909	2024	antivir altern therapi covid
39600184	2024	covid comprehens overview sign symptom multipl organ system
39600394	2024	compar insight clinic onboard interact practic patient engag covid digit health care
39601588	2024	environment exposur covid prospect popul base studi catalonia covicat studi
39602373	2024	critic analysi uk media characteris covid children peopl
39603265	2024	healthcar utilis 282,080 individu covid multipl match control longitudin cohort analysi
39603665	2024	report pre exist multipl term condit physic rehabilit covid scope review
39603702	2024	intervent manag covid post covid condit live systemat review
39604720	2024	map potenti gene pathwai involv covid brain fog integr bioinformat system biologi strategi
39604988	2024	machin learn predict pulmonari covid sequela clinic data
39604990	2024	establish sustain diseas registri insight qualit studi diseas registri uk
39606594	2024	led emit blue light improv qualiti life reduc fatigu covid infect
39607208	2024	cerebr glucos metabol mild covid patient 18f fdg pet ct studi
39609006	2024	develop minimum data set covid delphi studi protocol
39609032	2024	normalis process theori evalu implement digit health intervent commun secondari care covid clinic
39610330	2024	associ nk cell genet variant develop covid prepandem fiber neuropathi
39611127	2024	effect oral zinc steroid covid hyposmia hypogeusia
39611465	2024	associ workplac stressor prior infect develop covid worker covid pandem cohort studi japan
39611942	2024	maxim oxygen uptak pulmonari function walk economi impair patient diagnos covid
